,Data
3,functionalities
4,Lambdas
5,Java Streams
6,Object Oriented analysis
8,SQL
9,ORM
10,JPA2
11,Hibernate
12,MyBatis
13,Hibernate
14,code versioning tools
16,Maven
17,Gradle.. Familiarity
18,continuous integration
19,continuous delivery development processes
20,jenkins
23,frameworks
25,analytical reporting
26,conceptual data models
27,standard naming conventions
32,high throughput data access services
33,analyze/profile data
34,"conceptual, logical & physical data model designs"
35,reporting and analytics solutions
36,physical databases
37,variances
40,integrations
41,Demonstrable experience
42,logical and physical data models
44,modern enterprise data architectures
45,data toolsets
46,e.g.: data warehouse
47,data marts
48,modeling tools
49,profiling tools
50,Bachelor or Master degree
51,STEM majors
54,either Java
56,Scala programming experience
58,SQL
59,each following distributed technologies
61,i.e. Postgres
62,MySQL
63,Oracle
64,NoSQL Stores
65,(i.e. Big Query
66,Clickhouse
68,i.e. Apache Spark
69,Apache Flink
72,i.e. Apache Kafka
73,AWS Kinesis
74,GCP PusSub
75,standard methodologies
76,GCP
77,Azure
78,AWS
79,similar cloud platform technologies
81,experience building cloud environments
82,Excellent Unix/Linux experience and programming experience
85,IPC mechanisms
86,TCP/IP
87,Kafka
88,zmq
89,grpc
90,microservice architecture
91,orchestration
92,docker
93,kubernetes
94,cloud environments
95,etcd
96,service meshes
98,vault
99,API gateways
100,load balancers
103,sql/nosql
104,columnar databases
106,CAP Theorem
107,RAFT
108,"map-reduce, reliable multicast"
109,Paxos
110,CI/CD
111,Github
112,Makefiles
113,Microservices
114,AWS
115,GCPNode.js
116,REST APIs servicesExperience writing tools
118,PerlExperience
119,Bazel
120,toolingScala programming experienceKnowledge
121,HTTP 2/websocket
122,binary protocolsExperience
123,Redis
124,experience building cloud environments
125,Excellent Unix/Linux experience and programming experience
128,IPC mechanisms
129,TCP/IP
130,Kafka
131,zmq
132,grpc
133,microservice architecture
134,orchestration
135,docker
136,kubernetes
137,cloud environments
138,etcd
139,service meshes
141,vault
142,API gateways
143,load balancers
146,sql/nosql
147,columnar databases
149,CAP Theorem
150,RAFT
151,"map-reduce, reliable multicast"
152,Paxos
153,CI/CD
154,Github
155,Makefiles
156,Microservices
157,AWS
158,GCPNode.js
159,REST APIs servicesExperience writing tools
161,PerlExperience
162,Bazel
163,toolingScala programming experienceKnowledge
164,HTTP 2/websocket
165,binary protocolsExperience
166,Redis
167,Web UIExperience
168,JavaScript
169,HTML
170,CSS
