,Data,Result,Reason
0,What ifs,0,not detected as hard skill
1,seniority,0,not detected as hard skill
2,familiarity,0,not detected as hard skill
3,functionalities,1,unusual word
4,Lambdas,1,unusual word
5,Java Streams,1,in sample of hard skills
6,Object Oriented analysis,1,in sample of hard skills
7,Relational Databases,0,not detected as hard skill
8,SQL,1,in sample of hard skills
9,ORM,1,more than one capital letter
10,JPA2,1,more than one capital letter
11,Hibernate,1,unusual word
12,MyBatis,1,more than one capital letter
13,Hibernate,1,unusual word
14,code versioning tools,1,in sample of hard skills
15,Git.. Familiarity,0,not detected as hard skill
16,Maven,1,unusual word
17,Gradle.. Familiarity,1,unusual word
18,continuous integration,1,in sample of hard skills
19,continuous delivery development processes,1,in sample of hard skills
20,jenkins,1,not in english dictionary
21,bamboo,0,not detected as hard skill
22,Familiarity,0,not detected as hard skill
23,frameworks,1,in sample of hard skills
24,transformations,0,not detected as hard skill
25,analytical reporting,1,in sample of hard skills
26,conceptual data models,1,in sample of hard skills
27,standard naming conventions,1,in sample of hard skills
28,coding practices,0,not detected as hard skill
29,consistency,0,not detected as hard skill
30,optimized solutions,0,not detected as hard skill
31,methodologies,0,not detected as hard skill
32,high throughput data access services,1,in sample of hard skills
33,analyze/profile data,1,in sample of hard skills
34,"conceptual, logical & physical data model designs",1,in sample of hard skills
35,reporting and analytics solutions,1,in sample of hard skills
36,physical databases,1,in sample of hard skills
37,variances,1,unusual word
38,discrepancies,0,not detected as hard skill
39,all phases,0,not detected as hard skill
40,integrations,1,in sample of hard skills
41,Demonstrable experience,1,unusual word
42,logical and physical data models,1,in sample of hard skills
43,interpersonal skills,0,not detected as hard skill
44,modern enterprise data architectures,1,in sample of hard skills
45,data toolsets,1,in sample of hard skills
46,e.g.: data warehouse,1,in sample of hard skills
47,data marts,1,in sample of hard skills
48,modeling tools,1,in sample of hard skills
49,profiling tools,1,in sample of hard skills
50,Bachelor or Master degree,1,in sample of hard skills
51,STEM majors,1,more than one capital letter
52,Strong algorithms,0,not detected as hard skill
53,coding background,0,not detected as hard skill
54,either Java,1,in sample of hard skills
55,Python,0,not detected as hard skill
56,Scala programming experience,1,in sample of hard skills
57,Exceptional proficiency,0,not detected as hard skill
58,SQL,1,in sample of hard skills
59,each following distributed technologies,1,in sample of hard skills
60,  Relational Stores,0,not detected as hard skill
61,i.e. Postgres,1,in sample of hard skills
62,MySQL,1,in sample of hard skills
63,Oracle,1,in sample of hard skills
64,NoSQL Stores,1,in sample of hard skills
65,(i.e. Big Query,1,in sample of hard skills
66,Clickhouse,1,unusual word
67,Distributed Processing Engines,0,not detected as hard skill
68,i.e. Apache Spark,1,in sample of hard skills
69,Apache Flink,1,in sample of hard skills
70,Celery,0,not detected as hard skill
71,Distributed Queues,0,not detected as hard skill
72,i.e. Apache Kafka,1,in sample of hard skills
73,AWS Kinesis,1,in sample of hard skills
74,GCP PusSub,1,in sample of hard skills
75,standard methodologies,1,in sample of hard skills
76,GCP,1,in sample of hard skills
77,Azure,1,in sample of hard skills
78,AWS,1,in sample of hard skills
79,similar cloud platform technologies,1,in sample of hard skills
80,persuasion,0,not detected as hard skill
81,experience building cloud environments,1,in sample of hard skills
82,Excellent Unix/Linux experience and programming experience,1,in sample of hard skills
83,scripting,0,not detected as hard skill
84,"python, shell",0,not detected as hard skill
85,IPC mechanisms,1,more than one capital letter
86,TCP/IP,1,more than one capital letter
87,Kafka,1,unusual word
88,zmq,1,unusual word
89,grpc,1,unusual word
90,microservice architecture,1,unusual word
91,orchestration,1,in sample of hard skills
92,docker,1,unusual word
93,kubernetes,1,in sample of hard skills
94,cloud environments,1,in sample of hard skills
95,etcd,1,unusual word
96,service meshes,1,in sample of hard skills
97,envoy,0,not detected as hard skill
98,vault,1,in sample of hard skills
99,API gateways,1,in sample of hard skills
100,load balancers,1,unusual word
101,databases,0,not detected as hard skill
102,consistency,0,not detected as hard skill
