Data,Result,Reason
What ifs,0,not detected as hard skill
seniority,0,not detected as hard skill
familiarity,0,not detected as hard skill
functionalities,1,unusual word
Lambdas,1,unusual word
Java Streams,1,in sample of hard skills
Object Oriented analysis,1,in sample of hard skills
Relational Databases,0,not detected as hard skill
SQL,1,in sample of hard skills
ORM,1,more than one capital letter
JPA2,1,more than one capital letter
Hibernate,1,unusual word
MyBatis,1,more than one capital letter
Hibernate,1,unusual word
code versioning tools,1,in sample of hard skills
Git.. Familiarity,0,not detected as hard skill
Maven,1,unusual word
Gradle.. Familiarity,1,unusual word
continuous integration,1,in sample of hard skills
continuous delivery development processes,1,in sample of hard skills
jenkins,1,not in english dictionary
bamboo,0,not detected as hard skill
Familiarity,0,not detected as hard skill
frameworks,1,in sample of hard skills
transformations,0,not detected as hard skill
analytical reporting,1,in sample of hard skills
conceptual data models,1,in sample of hard skills
standard naming conventions,1,in sample of hard skills
coding practices,0,not detected as hard skill
consistency,0,not detected as hard skill
optimized solutions,0,not detected as hard skill
methodologies,0,not detected as hard skill
high throughput data access services,1,in sample of hard skills
analyze/profile data,1,in sample of hard skills
"conceptual, logical & physical data model designs",1,in sample of hard skills
reporting and analytics solutions,1,in sample of hard skills
physical databases,1,in sample of hard skills
variances,1,unusual word
discrepancies,0,not detected as hard skill
all phases,0,not detected as hard skill
integrations,1,in sample of hard skills
Demonstrable experience,1,unusual word
logical and physical data models,1,in sample of hard skills
interpersonal skills,0,not detected as hard skill
modern enterprise data architectures,1,in sample of hard skills
data toolsets,1,in sample of hard skills
e.g.: data warehouse,1,in sample of hard skills
data marts,1,in sample of hard skills
modeling tools,1,in sample of hard skills
profiling tools,1,in sample of hard skills
Bachelor or Master degree,1,in sample of hard skills
STEM majors,1,more than one capital letter
Strong algorithms,0,not detected as hard skill
coding background,0,not detected as hard skill
either Java,1,in sample of hard skills
Python,0,not detected as hard skill
Scala programming experience,1,in sample of hard skills
Exceptional proficiency,0,not detected as hard skill
SQL,1,in sample of hard skills
each following distributed technologies,1,in sample of hard skills
  Relational Stores,0,not detected as hard skill
i.e. Postgres,1,in sample of hard skills
MySQL,1,in sample of hard skills
Oracle,1,in sample of hard skills
NoSQL Stores,1,in sample of hard skills
(i.e. Big Query,1,in sample of hard skills
Clickhouse,1,unusual word
Distributed Processing Engines,0,not detected as hard skill
i.e. Apache Spark,1,in sample of hard skills
Apache Flink,1,in sample of hard skills
Celery,0,not detected as hard skill
Distributed Queues,0,not detected as hard skill
i.e. Apache Kafka,1,in sample of hard skills
AWS Kinesis,1,in sample of hard skills
GCP PusSub,1,in sample of hard skills
standard methodologies,1,in sample of hard skills
GCP,1,in sample of hard skills
Azure,1,in sample of hard skills
AWS,1,in sample of hard skills
similar cloud platform technologies,1,in sample of hard skills
persuasion,0,not detected as hard skill
experience building cloud environments,1,in sample of hard skills
Excellent Unix/Linux experience and programming experience,1,in sample of hard skills
scripting,0,not detected as hard skill
"python, shell",0,not detected as hard skill
IPC mechanisms,1,more than one capital letter
TCP/IP,1,more than one capital letter
Kafka,1,unusual word
zmq,1,unusual word
grpc,1,unusual word
microservice architecture,1,unusual word
orchestration,1,in sample of hard skills
docker,1,unusual word
kubernetes,1,in sample of hard skills
cloud environments,1,in sample of hard skills
etcd,1,unusual word
service meshes,1,in sample of hard skills
envoy,0,not detected as hard skill
vault,1,in sample of hard skills
API gateways,1,in sample of hard skills
load balancers,1,unusual word
databases,0,not detected as hard skill
consistency,0,not detected as hard skill
sql/nosql,1,not in english dictionary
columnar databases,1,unusual word
distributed consensus,0,not detected as hard skill
CAP Theorem,1,more than one capital letter
RAFT,1,more than one capital letter
"map-reduce, reliable multicast",1,unusual word
Paxos,1,unusual word
CI/CD,1,more than one capital letter
Github,1,not in english dictionary
Makefiles,1,unusual word
Microservices,1,unusual word
AWS,1,in sample of hard skills
GCPNode.js,1,more than one capital letter
REST APIs servicesExperience writing tools,1,more than one capital letter
Ruby,0,not detected as hard skill
PerlExperience,1,more than one capital letter
Bazel,1,unusual word
toolingScala programming experienceKnowledge,1,unusual word
HTTP 2/websocket,1,in sample of hard skills
binary protocolsExperience,1,unusual word
Redis,1,in sample of hard skills
experience building cloud environments,1,in sample of hard skills
Excellent Unix/Linux experience and programming experience,1,in sample of hard skills
scripting,0,not detected as hard skill
"python, shell",0,not detected as hard skill
IPC mechanisms,1,more than one capital letter
TCP/IP,1,more than one capital letter
Kafka,1,unusual word
zmq,1,unusual word
grpc,1,unusual word
microservice architecture,1,unusual word
orchestration,1,in sample of hard skills
docker,1,unusual word
kubernetes,1,in sample of hard skills
cloud environments,1,in sample of hard skills
etcd,1,unusual word
service meshes,1,in sample of hard skills
envoy,0,not detected as hard skill
vault,1,in sample of hard skills
API gateways,1,in sample of hard skills
load balancers,1,unusual word
databases,0,not detected as hard skill
consistency,0,not detected as hard skill
sql/nosql,1,not in english dictionary
columnar databases,1,unusual word
distributed consensus,0,not detected as hard skill
CAP Theorem,1,more than one capital letter
RAFT,1,more than one capital letter
"map-reduce, reliable multicast",1,unusual word
Paxos,1,unusual word
CI/CD,1,more than one capital letter
Github,1,not in english dictionary
Makefiles,1,unusual word
Microservices,1,unusual word
AWS,1,in sample of hard skills
GCPNode.js,1,more than one capital letter
REST APIs servicesExperience writing tools,1,more than one capital letter
Ruby,0,not detected as hard skill
PerlExperience,1,more than one capital letter
Bazel,1,unusual word
toolingScala programming experienceKnowledge,1,unusual word
HTTP 2/websocket,1,in sample of hard skills
binary protocolsExperience,1,unusual word
Redis,1,in sample of hard skills
Web UIExperience,1,in sample of hard skills
JavaScript,1,in sample of hard skills
